BestBid,BestAsk,Spread,Depth
2025-11-11 18:50:29.432235,99.1187,99.1187,1.37143e-05,1244
2025-11-11 18:50:29.434543,99.1187,99.1189,0.000222065,1547
2025-11-11 18:50:29.437056,99.1187,99.1189,0.000222065,1248
2025-11-11 18:50:29.439763,99.1187,99.1189,0.000222065,991
2025-11-11 18:50:29.442194,99.1187,99.1189,0.000222065,950
2025-11-11 18:50:29.444464,99.1189,99.119,9.37954e-05,1077
2025-11-11 18:50:29.446848,99.119,99.1192,0.000140385,846
2025-11-11 18:50:29.449530,99.1192,99.1192,2.37409e-05,1235
2025-11-11 18:50:29.451929,99.1192,99.1192,2.37409e-05,1224
2025-11-11 18:50:29.454352,99.1192,99.1192,2.27558e-05,1239
2025-11-11 18:50:29.456639,99.1192,99.1192,2.27558e-05,1206
2025-11-11 18:50:29.458887,99.1192,99.1197,0.000438882,1571
2025-11-11 18:50:29.461202,99.1192,99.1197,0.000438882,1542
2025-11-11 18:50:29.463748,99.1192,99.1192,2.27558e-05,1321
2025-11-11 18:50:29.466002,99.1192,99.1192,2.27558e-05,1293
2025-11-11 18:50:29.468350,99.1192,99.1192,2.37409e-05,1615
2025-11-11 18:50:29.471093,99.1192,99.1192,2.27558e-05,1290
2025-11-11 18:50:29.473491,99.1192,99.1197,0.000438882,1177
2025-11-11 18:50:29.475989,99.1192,99.1192,2.27558e-05,1234
2025-11-11 18:50:29.478306,99.1192,99.1197,0.000438882,1172
2025-11-11 18:50:29.480959,99.1192,99.1192,2.27558e-05,1164
2025-11-11 18:50:29.483418,99.1192,99.1192,2.37409e-05,1366
2025-11-11 18:50:29.485715,99.119,99.1192,0.000140385,1534
2025-11-11 18:50:29.488144,99.119,99.1192,0.000140385,1328
2025-11-11 18:50:29.490427,99.1192,99.1192,2.37409e-05,1256
2025-11-11 18:50:29.492740,99.1192,99.1192,2.27558e-05,1156
2025-11-11 18:50:29.494991,99.1192,99.1192,2.27558e-05,888
2025-11-11 18:50:29.497471,99.1192,99.1192,2.37409e-05,904
2025-11-11 18:50:29.499872,99.119,99.1192,0.000140385,1069
2025-11-11 18:50:29.502184,99.119,99.1192,0.000140385,1024
2025-11-11 18:50:29.505245,99.1189,99.119,9.37954e-05,1072
2025-11-11 18:50:29.507486,99.1189,99.119,9.37954e-05,886
2025-11-11 18:50:29.509746,99.119,99.1192,0.000140385,977
2025-11-11 18:50:29.512049,99.1192,99.1192,2.37409e-05,933
2025-11-11 18:50:29.514885,99.119,99.1192,0.000140385,863
2025-11-11 18:50:29.517325,99.1192,99.1192,2.37409e-05,872
2025-11-11 18:50:29.519809,99.1192,99.1192,2.37409e-05,708
2025-11-11 18:50:29.522865,99.1192,99.1192,2.27558e-05,916
2025-11-11 18:50:29.525204,99.1192,99.1192,2.37409e-05,1245
2025-11-11 18:50:29.527573,99.119,99.1192,0.000140385,1335
2025-11-11 18:50:29.530065,99.1192,99.1192,2.37409e-05,1279
2025-11-11 18:50:29.532397,99.1192,99.1192,2.37409e-05,950
2025-11-11 18:50:29.534743,99.119,99.1192,0.000140385,1198
2025-11-11 18:50:29.537496,99.1192,99.1192,2.37409e-05,933
2025-11-11 18:50:29.540108,99.1192,99.1192,2.37409e-05,921
2025-11-11 18:50:29.542504,99.1192,99.1192,2.37409e-05,713
2025-11-11 18:50:29.544725,99.1192,99.1192,2.27558e-05,862
2025-11-11 18:50:29.547296,99.1192,99.1193,5.44775e-05,903
2025-11-11 18:50:29.549907,99.1192,99.1193,5.44775e-05,871
2025-11-11 18:50:29.552318,99.1193,99.1197,0.000384405,1035
2025-11-11 18:50:29.554730,99.1192,99.1193,5.44775e-05,1074
2025-11-11 18:50:29.557010,99.1192,99.1192,2.27558e-05,1204
2025-11-11 18:50:29.559298,99.1192,99.1192,2.27558e-05,1060
2025-11-11 18:50:29.561611,99.1192,99.1192,2.27558e-05,1006
2025-11-11 18:50:29.564142,99.1192,99.1193,5.44775e-05,864
2025-11-11 18:50:29.567366,99.1192,99.1193,5.44775e-05,683
2025-11-11 18:50:29.570225,99.1192,99.1192,2.27558e-05,957
2025-11-11 18:50:29.572836,99.1192,99.1192,2.37409e-05,1013
2025-11-11 18:50:29.575097,99.119,99.1192,0.000140385,992
2025-11-11 18:50:29.577424,99.1192,99.1192,2.37409e-05,1502
2025-11-11 18:50:29.579732,99.1192,99.1192,2.37409e-05,1254
2025-11-11 18:50:29.582067,99.1192,99.1192,2.27558e-05,1607
2025-11-11 18:50:29.584490,99.1192,99.1193,5.44775e-05,1430
2025-11-11 18:50:29.587333,99.1192,99.1192,2.27558e-05,1674
2025-11-11 18:50:29.590715,99.1192,99.1193,5.44775e-05,1460
2025-11-11 18:50:29.593226,99.1193,99.1197,0.000384405,1854
2025-11-11 18:50:29.595999,99.1193,99.1197,0.000384405,1568
2025-11-11 18:50:29.598824,99.1192,99.1193,5.44775e-05,1923
2025-11-11 18:50:29.601337,99.1192,99.1193,5.44775e-05,1777
2025-11-11 18:50:29.604031,99.1192,99.1192,2.27558e-05,1742
2025-11-11 18:50:29.606335,99.1192,99.1193,5.44775e-05,2127
2025-11-11 18:50:29.609549,99.1192,99.1193,5.44775e-05,2090
2025-11-11 18:50:29.612186,99.1192,99.1193,5.44775e-05,1861
2025-11-11 18:50:29.614555,99.1192,99.1193,5.44775e-05,1748
2025-11-11 18:50:29.616883,99.1193,99.1197,0.000384405,1782
2025-11-11 18:50:29.619554,99.1193,99.1197,0.000384405,1763
2025-11-11 18:50:29.623712,99.1197,99.1197,2.54837e-05,2247
2025-11-11 18:50:29.626155,99.1193,99.1197,0.000384405,2011
2025-11-11 18:50:29.628509,99.1192,99.1193,5.44775e-05,2287
2025-11-11 18:50:29.631170,99.1192,99.1193,5.44775e-05,2172
2025-11-11 18:50:29.633552,99.1192,99.1193,5.44775e-05,1864
2025-11-11 18:50:29.636523,99.1193,99.1197,0.000384405,1722
2025-11-11 18:50:29.639173,99.1197,99.1197,2.54837e-05,1884
2025-11-11 18:50:29.641907,99.1193,99.1197,0.000384405,1520
2025-11-11 18:50:29.644793,99.1192,99.1193,5.44775e-05,1598
2025-11-11 18:50:29.647903,99.1193,99.1197,0.000384405,1486
2025-11-11 18:50:29.650773,99.1193,99.1197,0.000384405,1467
2025-11-11 18:50:29.653755,99.1192,99.1193,5.44775e-05,1463
2025-11-11 18:50:29.656563,99.1192,99.1192,2.27558e-05,1855
2025-11-11 18:50:29.659630,99.1192,99.1192,2.27558e-05,1744
2025-11-11 18:50:29.662735,99.1192,99.1192,2.27558e-05,1677
2025-11-11 18:50:29.666026,99.1192,99.1192,2.27558e-05,1655
2025-11-11 18:50:29.668537,99.1192,99.1193,5.44775e-05,1505
2025-11-11 18:50:29.671020,99.1192,99.1193,5.44775e-05,1424
2025-11-11 18:50:29.673732,99.1192,99.1193,5.44775e-05,1302
2025-11-11 18:50:29.676715,99.1192,99.1193,5.44775e-05,1315
2025-11-11 18:50:29.679373,99.1193,99.1193,3.88563e-05,1450
2025-11-11 18:50:29.681902,99.1193,99.1197,0.000345548,1441
2025-11-11 18:50:29.684343,99.1197,99.1197,2.54837e-05,1769
